Setting up Perceptual loss...
Loading model from: /home/mehmetturan/virasoft_projects/gaugan/segmentation/fat_pytorch_lit/FastGAN-pytorch/lpips/weights/v0.1/vgg.pth
...[net-lin [vgg]] initialized
...Done
Namespace(path='../fat_data/fat_detection/ann_dir/train/', cuda=0, name='test1', iter=100000, start_iter=0, batch_size=8, im_size=512, ckpt='None')
GAN: loss d: -0.12626    loss g: -0.59911
GAN: loss d: 2.63871    loss g: -1.94225
GAN: loss d: 1.39690    loss g: -1.80874
GAN: loss d: 0.59165    loss g: -1.10764
GAN: loss d: 1.84399    loss g: -2.01055
GAN: loss d: 2.57173    loss g: -3.23236
GAN: loss d: 2.48211    loss g: -3.58388
GAN: loss d: 2.45898    loss g: -2.24969
GAN: loss d: 2.31442    loss g: -2.21503
GAN: loss d: 2.17121    loss g: -2.11303
GAN: loss d: 2.38684    loss g: -2.00311
GAN: loss d: 2.50550    loss g: -3.55547
GAN: loss d: 2.72664    loss g: -3.23804
GAN: loss d: 2.35000    loss g: -3.51400
GAN: loss d: 2.96085    loss g: -2.42559
GAN: loss d: 2.69969    loss g: -2.27609
GAN: loss d: 2.86018    loss g: -1.75274
GAN: loss d: 2.67261    loss g: -2.02367
GAN: loss d: 3.20133    loss g: -2.05355
GAN: loss d: 2.57327    loss g: -1.85683
GAN: loss d: 2.78602    loss g: -1.79080
GAN: loss d: 2.92332    loss g: -1.89852
GAN: loss d: 3.25028    loss g: -1.63997
GAN: loss d: 3.13740    loss g: -1.80205
GAN: loss d: 3.20141    loss g: -1.82616
GAN: loss d: 2.81187    loss g: -1.98292
GAN: loss d: 3.16286    loss g: -1.88887
GAN: loss d: 3.35635    loss g: -1.88478
GAN: loss d: 2.58281    loss g: -1.77052
GAN: loss d: 3.16592    loss g: -1.53435
GAN: loss d: 3.07532    loss g: -1.92625
GAN: loss d: 3.24370    loss g: -1.78987
GAN: loss d: 3.11866    loss g: -1.77784
GAN: loss d: 2.77890    loss g: -1.76629
GAN: loss d: 3.03467    loss g: -1.58936
GAN: loss d: 3.23981    loss g: -1.64580
GAN: loss d: 3.46707    loss g: -1.44468
GAN: loss d: 3.26448    loss g: -1.48519
GAN: loss d: 3.40708    loss g: -1.48082
GAN: loss d: 3.37361    loss g: -1.41004
GAN: loss d: 3.45284    loss g: -1.47043
GAN: loss d: 2.86241    loss g: -1.55268
GAN: loss d: 3.44652    loss g: -1.53287
GAN: loss d: 3.13791    loss g: -1.97786
GAN: loss d: 3.12783    loss g: -1.63657
GAN: loss d: 2.78497    loss g: -1.71343
GAN: loss d: 3.84505    loss g: -2.25914
GAN: loss d: 4.73298    loss g: -1.82982
GAN: loss d: 4.40256    loss g: -1.90947
GAN: loss d: 3.84155    loss g: -1.54120
GAN: loss d: 4.08693    loss g: -1.58048
GAN: loss d: 4.14756    loss g: -1.88362
GAN: loss d: 4.66814    loss g: -1.94998
GAN: loss d: 4.60438    loss g: -1.35049
GAN: loss d: 4.33681    loss g: -1.88555
GAN: loss d: 4.46975    loss g: -1.62160
GAN: loss d: 3.25820    loss g: -2.02107
GAN: loss d: 4.17837    loss g: -1.67565
GAN: loss d: 4.19534    loss g: -2.53763
GAN: loss d: 4.45573    loss g: -1.61523
GAN: loss d: 3.88040    loss g: -1.93687
GAN: loss d: 4.36794    loss g: -1.94803
GAN: loss d: 4.36015    loss g: -2.00017
GAN: loss d: 5.87791    loss g: -2.08369
GAN: loss d: 5.71115    loss g: -1.74398
GAN: loss d: 4.58734    loss g: -2.24059
